addressId:ID(Address),zip_code,addr_state,home_ownership
1,235xx,VA,RENT
2,937xx,CA,MORTGAGE
3,658xx,MO,RENT
4,953xx,CA,MORTGAGE
5,850xx,AZ,RENT
6,077xx,NJ,RENT
7,554xx,MN,MORTGAGE
8,201xx,VA,OWN
9,982xx,WA,RENT
10,208xx,MD,RENT
11,483xx,MI,RENT
12,331xx,FL,RENT
13,144xx,NY,MORTGAGE
14,606xx,IL,MORTGAGE
15,403xx,KY,MORTGAGE
16,112xx,NY,RENT
17,926xx,CA,RENT
18,852xx,AZ,RENT
19,329xx,FL,RENT
20,304xx,GA,OWN
21,760xx,TX,MORTGAGE
22,754xx,TX,OWN
23,567xx,MN,OWN
24,960xx,CA,RENT
25,333xx,FL,OWN
26,463xx,IN,RENT
27,467xx,IN,MORTGAGE
28,810xx,CO,MORTGAGE
29,336xx,FL,MORTGAGE
30,114xx,NY,RENT
31,770xx,TX,MORTGAGE
32,853xx,AZ,MORTGAGE
33,629xx,IL,MORTGAGE
34,273xx,NC,MORTGAGE
35,363xx,AL,MORTGAGE
36,704xx,LA,RENT
37,958xx,CA,OWN
38,064xx,CT,RENT
39,077xx,NJ,MORTGAGE
40,060xx,CT,OWN
41,395xx,MS,MORTGAGE
42,802xx,CO,RENT
43,328xx,FL,RENT
44,925xx,CA,RENT
45,303xx,GA,RENT
46,277xx,NC,MORTGAGE
47,670xx,KS,MORTGAGE
48,358xx,AL,MORTGAGE
49,853xx,AZ,RENT
50,770xx,TX,OWN
51,130xx,NY,RENT
52,327xx,FL,RENT
53,560xx,MN,MORTGAGE
55,283xx,NC,OWN
56,196xx,PA,OWN
57,452xx,OH,MORTGAGE
58,324xx,FL,MORTGAGE
59,841xx,UT,RENT
60,300xx,GA,MORTGAGE
61,728xx,AR,MORTGAGE
62,210xx,MD,OWN
63,600xx,IL,OWN
64,076xx,NJ,RENT
65,368xx,AL,OWN
66,402xx,KY,MORTGAGE
67,967xx,HI,MORTGAGE
68,631xx,MO,RENT
69,787xx,TX,RENT
70,881xx,NM,MORTGAGE
71,439xx,OH,MORTGAGE
72,333xx,FL,RENT
73,232xx,VA,RENT
75,900xx,CA,RENT
76,117xx,NY,RENT
77,201xx,VA,RENT
78,620xx,IL,RENT
79,774xx,TX,RENT
80,863xx,AZ,MORTGAGE
81,234xx,VA,MORTGAGE
82,104xx,NY,RENT
83,032xx,NH,RENT
84,789xx,TX,MORTGAGE
85,223xx,VA,RENT
86,210xx,MD,MORTGAGE
87,481xx,MI,MORTGAGE
88,379xx,TN,RENT
90,356xx,AL,MORTGAGE
91,787xx,TX,MORTGAGE
92,907xx,CA,RENT
93,337xx,FL,OWN
95,750xx,TX,MORTGAGE
96,015xx,MA,RENT
97,347xx,FL,RENT
98,601xx,IL,MORTGAGE
99,064xx,CT,MORTGAGE
100,637xx,MO,MORTGAGE
101,265xx,WV,RENT
102,672xx,KS,MORTGAGE
103,303xx,GA,MORTGAGE
104,080xx,NJ,RENT
105,117xx,NY,MORTGAGE
107,800xx,CO,MORTGAGE
108,442xx,OH,MORTGAGE
109,574xx,SD,MORTGAGE
110,922xx,CA,MORTGAGE
111,310xx,GA,MORTGAGE
112,951xx,CA,RENT
114,871xx,NM,MORTGAGE
115,762xx,TX,MORTGAGE
118,917xx,CA,OWN
120,015xx,MA,MORTGAGE
121,410xx,KY,MORTGAGE
124,179xx,PA,MORTGAGE
126,023xx,MA,RENT
128,207xx,MD,MORTGAGE
129,330xx,FL,MORTGAGE
130,016xx,MA,RENT
131,751xx,TX,RENT
132,928xx,CA,MORTGAGE
133,857xx,AZ,MORTGAGE
