:START_ID(Application),:END_ID(Loan)
38098114,1
36805548,2
37842129,3
37612354,4
37662224,5
37822187,6
37741884,7
37854444,8
36804663,9
37642222,10
37701596,11
37800722,12
37682226,13
37712169,14
37742129,15
37742142,16
36520573,17
37854423,16
37822018,16
37752109,20
36441833,21
37611006,22
37822020,23
37740199,15
36280613,25
36109709,16
37791988,27
37822030,28
37692106,29
37832099,30
37622029,1
37661949,32
37681488,6
37742002,34
37631679,1
37731951,36
37631992,37
37681595,38
37751772,39
37692004,29
37631762,41
37791982,42
37651933,43
37791971,32
37651870,45
37612142,46
37742008,17
10089665,38
37651881,1
37811785,22
37802003,32
37077753,8
37661932,53
37711991,22
37702003,55
37641966,25
37692013,23
37661950,58
37791945,59
37661936,46
37641656,61
37791995,62
37782066,63
37612144,32
37841931,65
37610751,11
37831998,67
37791865,68
37612112,15
37720651,37
37601829,11
37802030,72
37761127,55
37721473,59
37782131,75
36890155,58
37831974,77
37681956,25
36400279,58
37197554,37
37691930,81
36803735,82
37801983,1
37681948,84
37691945,85
37621910,85
37601999,1
37701933,88
37841841,89
37671926,90
37711908,59
37691941,29
37681444,58
37831861,94
37841743,32
37752007,96
37761915,97
37701906,32
454052,1
26298574,32
37671937,15
34372079,102
37751999,29
37791882,85
37800170,25
37267592,15
37671924,8
37741891,29
37771886,109
37691982,17
37691975,111
37641921,38
37621901,38
37661861,114
37641666,115
37782025,116
37661855,117
37761908,17
37641959,32
37601979,37
37681953,38
37721926,122
37731902,59
37771899,17
37701472,125
37612040,126
37731824,127
37701802,37
37771879,1
37641406,130
37641837,131
37751916,132
37631861,23
37841820,55
37407156,135
37831843,22
37791794,137
37821851,38
37631842,139
37681636,140
37620367,141
37711880,46
37821880,143
37854137,30
37731834,11
37691888,146
37761254,147
37681895,148
37661840,11
37631915,29
37761067,59
37761825,152
37651796,153
37631862,17
37681180,88
37700576,156
37831927,11
37621870,158
37751902,68
37781998,160
37731712,25
12389132,162
37701788,163
36039306,1
37781682,32
37651768,46
37108024,167
37831854,16
37641820,58
37641816,170
37761758,32
37651728,13
37791793,37
37821828,11
37781827,85
37641861,59
37771373,85
37854157,59
37831894,32
37661785,22
37720167,181
37681303,182
37761813,183
37317684,29
37801803,185
37611935,186
35938486,37
37611926,188
37761759,189
37611902,11
37761762,191
37611953,53
37681800,167
37781880,8
37721789,46
37810302,196
37751868,11
37741749,16
37841668,29
37791772,200
37701767,32
37691855,38
37691828,11
37821783,32
37711779,85
37611956,206
37791739,207
37751688,59
37811886,209
37631791,210
37791796,211
37611950,15
37811869,85
37660990,46
37611594,37
37831775,68
37631833,127
37801825,58
37731794,1
37741729,127
37611938,221
37831802,59
37781916,85
37601891,46
37267850,28
37641760,226
37701777,227
37701779,11
37721827,229
37630954,230
37831821,59
37821792,46
37741543,25
37741751,11
37711792,46
36421136,58
37671760,77
37661707,148
37691807,16
37751847,141
37631787,85
36039943,242
37831763,11
37601834,244
37821666,115
21149906,30
37731677,16
37781367,17
37611805,90
37781802,116
37701740,251
37841694,15
37661655,16
37801612,254
37701724,7
33341779,59
35823892,257
37601820,89
37601819,6
37771756,59
37630961,1
37801349,262
37820667,263
37811804,15
37811787,85
37791691,1
37751794,59
37801815,11
37650565,4
31396726,270
37821702,30
37751815,272
37831666,22
37811463,274
37711705,9
37621731,276
37761717,46
37681700,278
37691744,127
37711739,148
37781808,68
37751780,11
37701695,88
37821675,15
37771728,114
37671710,46
37741668,59
37741676,288
37771735,16
37811728,290
37610762,11
37711575,16
11335677,102
37791711,294
37611597,15
37811578,8
36733172,297
37791710,84
37651670,1
37841659,30
37681714,59
37751822,17
37621715,46
37711374,11
37821698,1
37841687,46
37731698,16
37761751,85
37641687,127
37601791,32
37821701,311
37741195,28
37711652,46
37690495,162
37661596,59
37751726,288
37781726,141
37731640,59
37691114,319
37681655,84
37731642,17
37621640,156
37631470,323
37077809,77
37601725,32
37681666,32
37781781,85
37217579,11
37821608,329
37831402,11
37801656,59
37177831,11
37811713,7
37701628,38
36802944,59
37821618,23
37640708,8
37641457,132
37841570,58
37751107,148
37831639,127
37731637,59
37711640,15
37701646,127
17343158,37
37671673,85
37631658,163
37721682,45
37721677,22
37601716,15
37067173,59
36803487,11
37691724,59
37641672,1
37127479,1
37077276,356
37711641,84
37791598,11
37671674,32
37328751,59
37600949,11
37830850,163
37761657,85
37177841,8
37841594,41
37841552,38
37631643,59
37831674,85
37651617,15
37800583,370
37831116,84
37691383,11
37741625,148
37761508,1
37600999,8
37681641,376
37771658,148
36059066,162
37741604,11
37681573,380
37427158,263
37127806,29
37751705,32
37831571,8
37751675,11
37831563,386
37741569,46
36733453,388
37601651,1
37651582,62
37801674,32
37721599,30
37671599,1
37711588,2
37751666,395
37771625,396
37641601,397
37770653,398
37721612,8
37671618,400
37621626,30
37841535,41
37801684,32
37227811,46
37631586,30
36280834,37
37761587,407
37731386,114
37671600,58
37661476,38
37671634,153
36201550,88
37631629,8
37831594,209
37641562,11
37701556,8
37601676,85
37711626,46
37761091,419
37781712,114
37701058,1
33411541,59
37671596,423
37811675,85
37641556,1
37841522,426
37611667,32
37661538,428
37661489,46
36743141,85
37781631,59
37811432,58
37711546,46
37821538,1
37631545,32
37661515,227
37831519,114
37611619,32
37611658,439
37640670,440
37761536,29
37711552,25
37681551,25
37611643,29
37661500,148
37671547,446
36371569,13
37821530,23
37681471,37
37147785,11
36801601,262
37700204,452
37680182,59
37661431,59
37641524,38
37771542,456
37107399,148
37691519,32
37681531,84
37841472,11
37761554,1
37741493,209
37841457,25
37621574,46
37621413,46
37601615,400
37631536,11
37800296,468
37611270,41
37601584,53
37751576,38
37841448,38
37741487,15
37751428,162
37711505,162
37751566,11
37701521,37
37611567,127
37811568,479
37621531,20
37641514,8
37731460,15
37781596,46
37681506,127
37841426,29
37751480,148
37107234,58
37781601,59
37701519,489
36119630,46
37831494,38
37711500,58
37740668,141
37711490,46
37641481,163
37821463,8
37831469,17
37701318,59
37601591,11
37621233,502
36860143,503
37671503,504
37631502,505
37841429,58
37800714,25
37831471,58
37611593,8
36331431,510
37821494,1
32349399,1
37831477,58
37841428,30
37761295,6
37751581,242
37721518,11
37621513,32
37711464,156
37821455,29
37721502,6
37771471,59
37701461,46
37830811,148
37821450,1
37641448,59
37711472,13
36220470,528
37720929,22
37701495,59
37661426,59
37611559,148
37621480,7
36119381,1
37801531,1
37631465,11
37631457,59
37207932,7
37661445,160
37761468,11
37611376,1
37801300,25
37821449,15
37831444,160
37731416,16
37611542,546
37621461,38
37621487,81
37601076,1
36801518,6
36281033,11
36019516,11
37671420,45
37731356,59
37771432,46
37621463,556
16402028,15
37741416,163
37741435,559
37721438,25
37751532,46
37771406,562
37711459,17
37641419,564
37690957,565
37811487,395
37620902,567
37631405,568
37671430,1
36797598,85
37751483,38
37651351,428
37691484,85
37841375,127
37641398,127
37641397,59
37691476,577
37771414,32
37761440,29
37801484,1
37791356,163
37831382,46
37651373,59
37601500,546
37731388,25
37751449,1
37631386,58
37800346,85
37781483,32
37701396,25
37601439,58
37831333,16
37751452,85
37841350,126
37831271,22
