:START_ID(Application),:END_ID(Loansts)
38098114,1
36805548,2
37842129,1
37612354,4
37662224,2
37822187,1
37741884,1
37854444,1
36804663,2
37642222,1
37701596,2
37800722,2
37682226,1
37712169,4
37742129,1
37742142,1
36520573,1
37854423,1
37822018,1
37752109,4
36441833,4
37611006,4
37822020,1
37740199,1
36280613,1
36109709,1
37791988,1
37822030,2
37692106,1
37832099,1
37622029,4
37661949,2
37681488,1
37742002,1
37631679,1
37731951,4
37631992,1
37681595,1
37751772,1
37692004,4
37631762,4
37791982,1
37651933,1
37791971,4
37651870,4
37612142,4
37742008,1
10089665,1
37651881,4
37811785,1
37802003,1
37077753,4
37661932,1
37711991,2
37702003,1
37641966,1
37692013,4
37661950,1
37791945,1
37661936,1
37641656,4
37791995,2
37782066,4
37612144,1
37841931,2
37610751,1
37831998,1
37791865,4
37612112,1
37720651,1
37601829,4
37802030,1
37761127,1
37721473,1
37782131,1
36890155,4
37831974,1
37681956,1
36400279,1
37197554,4
37691930,1
36803735,4
37801983,1
37681948,1
37691945,1
37621910,1
37601999,1
37701933,1
37841841,2
37671926,1
37711908,1
37691941,4
37681444,1
37831861,1
37841743,1
37752007,2
37761915,1
37701906,1
454052,4
26298574,4
37671937,4
34372079,4
37751999,1
37791882,1
37800170,4
37267592,4
37671924,2
37741891,1
37771886,1
37691982,1
37691975,1
37641921,1
37621901,4
37661861,1
37641666,1
37782025,2
37661855,1
37761908,1
37641959,2
37601979,4
37681953,1
37721926,1
37731902,4
37771899,1
37701472,1
37612040,4
37731824,1
37701802,1
37771879,4
37641406,4
37641837,4
37751916,1
37631861,1
37841820,1
37407156,1
37831843,1
37791794,1
37821851,4
37631842,2
37681636,2
37620367,4
37711880,2
37821880,1
37854137,1
37731834,1
37691888,2
37761254,1
37681895,4
37661840,1
37631915,1
37761067,1
37761825,1
37651796,2
37631862,1
37681180,1
37700576,4
37831927,4
37621870,2
37751902,1
37781998,2
37731712,2
12389132,4
37701788,4
36039306,4
37781682,4
37651768,4
37108024,4
37831854,1
37641820,1
37641816,1
37761758,1
37651728,1
37791793,4
37821828,1
37781827,1
37641861,1
37771373,1
37854157,1
37831894,1
37661785,1
37720167,1
37681303,2
37761813,2
37317684,4
37801803,4
37611935,1
35938486,4
37611926,2
37761759,4
37611902,1
37761762,2
37611953,1
37681800,2
37781880,4
37721789,4
37810302,1
37751868,1
37741749,1
37841668,1
37791772,2
37701767,1
37691855,4
37691828,2
37821783,1
37711779,2
37611956,2
37791739,1
37751688,4
37811886,4
37631791,1
37791796,4
37611950,4
37811869,1
37660990,4
37611594,4
37831775,1
37631833,1
37801825,2
37731794,1
37741729,1
37611938,1
37831802,4
37781916,1
37601891,4
37267850,4
37641760,1
37701777,1
37701779,4
37721827,2
37630954,1
37831821,1
37821792,1
37741543,1
37741751,1
37711792,1
36421136,1
37671760,4
37661707,1
37691807,4
37751847,1
37631787,1
36039943,1
37831763,1
37601834,2
37821666,1
21149906,1
37731677,1
37781367,1
37611805,1
37781802,1
37701740,4
37841694,1
37661655,1
37801612,1
37701724,1
33341779,1
35823892,4
37601820,1
37601819,1
37771756,1
37630961,4
37801349,2
37820667,4
37811804,1
37811787,1
37791691,2
37751794,1
37801815,4
37650565,1
31396726,1
37821702,1
37751815,2
37831666,1
37811463,1
37711705,1
37621731,1
37761717,1
37681700,2
37691744,1
37711739,1
37781808,1
37751780,4
37701695,1
37821675,1
37771728,1
37671710,1
37741668,4
37741676,1
37771735,1
37811728,1
37610762,1
37711575,1
11335677,1
37791711,4
37611597,1
37811578,1
36733172,4
37791710,4
37651670,4
37841659,1
37681714,1
37751822,1
37621715,2
37711374,1
37821698,1
37841687,1
37731698,1
37761751,2
37641687,1
37601791,4
37821701,1
37741195,1
37711652,1
37690495,1
37661596,2
37751726,1
37781726,1
37731640,1
37691114,1
37681655,4
37731642,1
37621640,1
37631470,1
37077809,1
37601725,1
37681666,1
37781781,1
37217579,1
37821608,1
37831402,1
37801656,1
37177831,1
37811713,1
37701628,1
36802944,1
37821618,1
37640708,4
37641457,1
37841570,2
37751107,4
37831639,1
37731637,2
37711640,1
37701646,1
17343158,1
37671673,4
37631658,4
37721682,1
37721677,4
37601716,1
37067173,4
36803487,1
37691724,1
37641672,4
37127479,2
37077276,1
37711641,1
37791598,4
37671674,2
37328751,1
37600949,4
37830850,2
37761657,1
37177841,4
37841594,1
37841552,1
37631643,1
37831674,1
37651617,1
37800583,1
37831116,4
37691383,1
37741625,4
37761508,1
37600999,2
37681641,1
37771658,1
36059066,2
37741604,4
37681573,2
37427158,4
37127806,1
37751705,1
37831571,1
37751675,1
37831563,4
37741569,1
36733453,1
37601651,1
37651582,2
37801674,1
37721599,1
37671599,1
37711588,1
37751666,1
37771625,1
37641601,1
37770653,1
37721612,1
37671618,4
37621626,4
37841535,4
37801684,4
37227811,1
37631586,1
36280834,1
37761587,1
37731386,2
37671600,1
37661476,1
37671634,4
36201550,1
37631629,4
37831594,1
37641562,1
37701556,4
37601676,1
37711626,4
37761091,1
37781712,4
37701058,1
33411541,4
37671596,1
37811675,1
37641556,1
37841522,4
37611667,1
37661538,1
37661489,1
36743141,1
37781631,1
37811432,2
37711546,4
37821538,1
37631545,1
37661515,1
37831519,4
37611619,1
37611658,439
37640670,1
37761536,1
37711552,1
37681551,1
37611643,1
37661500,4
37671547,1
36371569,4
37821530,1
37681471,1
37147785,1
36801601,1
37700204,1
37680182,1
37661431,1
37641524,2
37771542,1
37107399,1
37691519,1
37681531,1
37841472,1
37761554,2
37741493,1
37841457,1
37621574,4
37621413,1
37601615,1
37631536,1
37800296,1
37611270,1
37601584,1
37751576,1
37841448,1
37741487,1
37751428,1
37711505,1
37751566,2
37701521,4
37611567,1
37811568,1
37621531,1
37641514,2
37731460,1
37781596,4
37681506,1
37841426,1
37751480,4
37107234,1
37781601,1
37701519,1
36119630,2
37831494,1
37711500,4
37740668,1
37711490,2
37641481,4
37821463,1
37831469,1
37701318,1
37601591,1
37621233,1
36860143,4
37671503,1
37631502,1
37841429,1
37800714,1
37831471,4
37611593,1
36331431,1
37821494,4
32349399,1
37831477,1
37841428,1
37761295,1
37751581,2
37721518,1
37621513,1
37711464,1
37821455,4
37721502,1
37771471,1
37701461,1
37830811,2
37821450,1
37641448,1
37711472,1
36220470,4
37720929,2
37701495,4
37661426,1
37611559,1
37621480,1
36119381,2
37801531,1
37631465,1
37631457,2
37207932,1
37661445,1
37761468,1
37611376,1
37801300,1
37821449,1
37831444,1
37731416,1
37611542,1
37621461,1
37621487,1
37601076,1
36801518,1
36281033,1
36019516,1
37671420,1
37731356,4
37771432,2
37621463,1
16402028,1
37741416,2
37741435,1
37721438,4
37751532,1
37771406,1
37711459,1
37641419,2
37690957,1
37811487,1
37620902,1
37631405,1
37671430,2
36797598,1
37751483,1
37651351,1
37691484,1
37841375,4
37641398,1
37641397,1
37691476,2
37771414,1
37761440,4
37801484,1
37791356,1
37831382,1
37651373,2
37601500,1
37731388,1
37751449,1
37631386,1
37800346,1
37781483,1
37701396,1
37601439,1
37831333,1
37751452,1
37841350,2
37831271,1
