:START_ID(Application),:END_ID(Terms)
38098114,1
36805548,2
37842129,1
37612354,1
37662224,2
37822187,2
37741884,2
37854444,1
36804663,2
37642222,2
37701596,2
37800722,2
37682226,2
37712169,1
37742129,2
37742142,2
36520573,2
37854423,2
37822018,2
37752109,1
36441833,2
37611006,2
37822020,2
37740199,2
36280613,2
36109709,2
37791988,2
37822030,2
37692106,1
37832099,2
37622029,1
37661949,2
37681488,2
37742002,2
37631679,2
37731951,2
37631992,2
37681595,2
37751772,1
37692004,1
37631762,2
37791982,2
37651933,2
37791971,2
37651870,2
37612142,1
37742008,2
10089665,2
37651881,1
37811785,1
37802003,2
37077753,1
37661932,2
37711991,2
37702003,2
37641966,2
37692013,2
37661950,2
37791945,1
37661936,2
37641656,1
37791995,2
37782066,1
37612144,2
37841931,1
37610751,2
37831998,2
37791865,2
37612112,2
37720651,1
37601829,2
37802030,1
37761127,2
37721473,2
37782131,2
36890155,1
37831974,2
37681956,2
36400279,2
37197554,2
37691930,2
36803735,1
37801983,2
37681948,2
37691945,2
37621910,2
37601999,2
37701933,2
37841841,2
37671926,1
37711908,1
37691941,2
37681444,1
37831861,1
37841743,2
37752007,1
37761915,2
37701906,2
454052,2
26298574,2
37671937,2
34372079,2
37751999,1
37791882,1
37800170,2
37267592,2
37671924,2
37741891,2
37771886,2
37691982,2
37691975,1
37641921,2
37621901,2
37661861,2
37641666,2
37782025,1
37661855,2
37761908,2
37641959,2
37601979,1
37681953,2
37721926,2
37731902,1
37771899,2
37701472,2
37612040,2
37731824,2
37701802,2
37771879,1
37641406,2
37641837,2
37751916,2
37631861,2
37841820,2
37407156,2
37831843,2
37791794,2
37821851,2
37631842,1
37681636,1
37620367,2
37711880,2
37821880,2
37854137,2
37731834,2
37691888,2
37761254,2
37681895,1
37661840,1
37631915,1
37761067,2
37761825,2
37651796,1
37631862,2
37681180,2
37700576,2
37831927,1
37621870,1
37751902,2
37781998,1
37731712,1
12389132,1
37701788,1
36039306,2
37781682,2
37651768,1
37108024,1
37831854,2
37641820,2
37641816,1
37761758,2
37651728,2
37791793,1
37821828,1
37781827,1
37641861,2
37771373,2
37854157,2
37831894,2
37661785,2
37720167,1
37681303,2
37761813,1
37317684,1
37801803,1
37611935,2
35938486,1
37611926,2
37761759,2
37611902,2
37761762,2
37611953,2
37681800,1
37781880,1
37721789,2
37810302,2
37751868,2
37741749,2
37841668,2
37791772,2
37701767,2
37691855,2
37691828,1
37821783,2
37711779,1
37611956,2
37791739,2
37751688,2
37811886,2
37631791,2
37791796,2
37611950,2
37811869,2
37660990,1
37611594,2
37831775,2
37631833,2
37801825,2
37731794,2
37741729,2
37611938,2
37831802,1
37781916,1
37601891,1
37267850,1
37641760,2
37701777,2
37701779,1
37721827,2
37630954,1
37831821,2
37821792,2
37741543,2
37741751,2
37711792,1
36421136,2
37671760,2
37661707,1
37691807,2
37751847,1
37631787,2
36039943,1
37831763,2
37601834,1
37821666,2
21149906,2
37731677,2
37781367,2
37611805,2
37781802,1
37701740,1
37841694,2
37661655,2
37801612,1
37701724,2
33341779,1
35823892,1
37601820,2
37601819,2
37771756,2
37630961,1
37801349,1
37820667,1
37811804,2
37811787,2
37791691,2
37751794,2
37801815,1
37650565,2
31396726,2
37821702,2
37751815,2
37831666,2
37811463,2
37711705,1
37621731,2
37761717,2
37681700,2
37691744,2
37711739,1
37781808,2
37751780,2
37701695,2
37821675,2
37771728,2
37671710,1
37741668,1
37741676,2
37771735,2
37811728,2
37610762,2
37711575,2
11335677,2
37791711,2
37611597,2
37811578,1
36733172,2
37791710,1
37651670,2
37841659,2
37681714,2
37751822,2
37621715,2
37711374,1
37821698,2
37841687,1
37731698,2
37761751,1
37641687,2
37601791,2
37821701,2
37741195,1
37711652,2
37690495,2
37661596,1
37751726,2
37781726,2
37731640,2
37691114,1
37681655,2
37731642,2
37621640,2
37631470,2
37077809,2
37601725,2
37681666,2
37781781,2
37217579,2
37821608,2
37831402,2
37801656,2
37177831,1
37811713,2
37701628,2
36802944,2
37821618,2
37640708,1
37641457,2
37841570,1
37751107,1
37831639,2
37731637,2
37711640,2
37701646,2
17343158,2
37671673,1
37631658,1
37721682,2
37721677,1
37601716,2
37067173,1
36803487,1
37691724,2
37641672,1
37127479,2
37077276,2
37711641,2
37791598,1
37671674,2
37328751,2
37600949,1
37830850,1
37761657,2
37177841,1
37841594,2
37841552,2
37631643,2
37831674,2
37651617,2
37800583,2
37831116,1
37691383,2
37741625,1
37761508,2
37600999,1
37681641,1
37771658,2
36059066,1
37741604,1
37681573,1
37427158,1
37127806,2
37751705,2
37831571,1
37751675,2
37831563,1
37741569,1
36733453,2
37601651,2
37651582,2
37801674,2
37721599,2
37671599,2
37711588,2
37751666,2
37771625,2
37641601,2
37770653,2
37721612,2
37671618,2
37621626,2
37841535,1
37801684,2
37227811,2
37631586,2
36280834,2
37761587,2
37731386,2
37671600,2
37661476,2
37671634,2
36201550,2
37631629,2
37831594,2
37641562,2
37701556,1
37601676,2
37711626,1
37761091,2
37781712,2
37701058,2
33411541,1
37671596,2
37811675,1
37641556,2
37841522,1
37611667,2
37661538,1
37661489,2
36743141,1
37781631,2
37811432,1
37711546,1
37821538,1
37631545,2
37661515,2
37831519,2
37611619,2
37611658,1
37640670,2
37761536,2
37711552,2
37681551,2
37611643,1
37661500,1
37671547,2
36371569,2
37821530,2
37681471,2
37147785,2
36801601,2
37700204,2
37680182,2
37661431,2
37641524,2
37771542,2
37107399,2
37691519,2
37681531,1
37841472,2
37761554,1
37741493,2
37841457,2
37621574,1
37621413,2
37601615,2
37631536,2
37800296,2
37611270,1
37601584,2
37751576,2
37841448,2
37741487,2
37751428,2
37711505,2
37751566,1
37701521,1
37611567,2
37811568,2
37621531,1
37641514,1
37731460,2
37781596,1
37681506,2
37841426,2
37751480,1
37107234,2
37781601,2
37701519,2
36119630,1
37831494,2
37711500,1
37740668,1
37711490,1
37641481,1
37821463,2
37831469,2
37701318,2
37601591,2
37621233,2
36860143,1
37671503,2
37631502,1
37841429,2
37800714,1
37831471,2
37611593,2
36331431,2
37821494,1
32349399,2
37831477,2
37841428,2
37761295,2
37751581,1
37721518,2
37621513,2
37711464,2
37821455,2
37721502,2
37771471,2
37701461,2
37830811,1
37821450,1
37641448,2
37711472,2
36220470,1
37720929,1
37701495,1
37661426,2
37611559,2
37621480,2
36119381,1
37801531,2
37631465,2
37631457,2
37207932,2
37661445,2
37761468,2
37611376,2
37801300,1
37821449,2
37831444,2
37731416,2
37611542,2
37621461,2
37621487,2
37601076,2
36801518,2
36281033,2
36019516,2
37671420,2
37731356,1
37771432,1
37621463,2
16402028,2
37741416,1
37741435,1
37721438,2
37751532,2
37771406,1
37711459,2
37641419,2
37690957,2
37811487,2
37620902,2
37631405,1
37671430,2
36797598,1
37751483,2
37651351,1
37691484,2
37841375,2
37641398,2
37641397,2
37691476,2
37771414,2
37761440,1
37801484,2
37791356,2
37831382,1
37651373,2
37601500,2
37731388,2
37751449,1
37631386,2
37800346,1
37781483,2
37701396,1
37601439,2
37831333,2
37751452,2
37841350,2
37831271,2
