applicationId:ID(Application),open_acc,pub_rec,issue_d
38098114,6,0,Dec-2014
36805548,17,0,Dec-2014
37842129,10,0,Dec-2014
37612354,8,0,Dec-2014
37662224,11,0,Dec-2014
37822187,12,0,Dec-2014
37741884,9,0,Dec-2014
37854444,7,0,Dec-2014
36804663,14,0,Dec-2014
37642222,8,0,Dec-2014
37701596,5,0,Dec-2014
37800722,11,0,Dec-2014
37682226,7,0,Dec-2014
37712169,14,0,Dec-2014
37742129,11,0,Dec-2014
37742142,10,1,Dec-2014
36520573,7,0,Dec-2014
37854423,9,0,Dec-2014
37822018,3,0,Dec-2014
37752109,8,0,Dec-2014
36441833,11,0,Dec-2014
37611006,13,0,Dec-2014
37822020,17,0,Dec-2014
37740199,11,0,Dec-2014
36280613,6,0,Dec-2014
36109709,14,0,Dec-2014
37791988,19,0,Dec-2014
37822030,11,0,Dec-2014
37692106,15,0,Dec-2014
37832099,12,0,Dec-2014
37622029,8,0,Dec-2014
37661949,9,1,Dec-2014
37681488,10,1,Dec-2014
37742002,6,0,Dec-2014
37631679,10,1,Dec-2014
37731951,9,0,Dec-2014
37631992,5,0,Dec-2014
37681595,6,0,Dec-2014
37751772,10,0,Dec-2014
37692004,25,0,Dec-2014
37631762,11,0,Dec-2014
37791982,7,0,Dec-2014
37651933,7,0,Dec-2014
37791971,7,1,Dec-2014
37651870,4,0,Dec-2014
37612142,15,0,Dec-2014
37742008,5,0,Dec-2014
10089665,24,0,Dec-2014
37651881,7,0,Dec-2014
37811785,8,0,Dec-2014
37802003,7,0,Dec-2014
37077753,9,0,Dec-2014
37661932,12,0,Dec-2014
37711991,20,0,Dec-2014
37702003,8,1,Dec-2014
37641966,18,0,Dec-2014
37692013,14,0,Dec-2014
37661950,22,0,Dec-2014
37791945,12,0,Dec-2014
37661936,5,0,Dec-2014
37641656,4,0,Dec-2014
37791995,18,1,Dec-2014
37782066,10,0,Dec-2014
37612144,17,0,Dec-2014
37841931,22,0,Dec-2014
37610751,14,0,Dec-2014
