workId:ID(Work),emp_length,emp_title
1,10+ years,MANAGEMENT
2,8 years,Truck Driver Delivery Personel
3,6 years,Programming Analysis Supervisor
4,10+ years,Senior Sales Professional
5,< 1 year,Technical Specialist
6,10+ years,Admin Specialist
7,< 1 year,Manufacturing Engineer
8,6 years,Foreign Service Officer
9,10+ years,Teacher
10,2 years,Store Manager
11,8 years,Investment Consultant
12,10+ years,Sales
13,10+ years,Deputy sheriff
14,10+ years,Paralegal
15,10+ years,Assistant manager
16,8 years,practice plan associate
17,9 years,Respiratory Therapist
18,7 years,Student Services Coordinator
19,2 years,Sales Rep
20,5 years,nurse
21,5 years,Director of Operations
22,10+ years,first grade teacher
23,3 years,Attorney
24,1 year,office manager
25,8 years,Education Advising Manager
26,,
27,8 years,Asset Protection
28,10+ years,construction foreman
29,2 years,Humana Cares Manager
30,9 years,Accounting clerk
31,3 years,Appraiser
32,4 years,Teacher
33,7 years,Store Manager
34,< 1 year,Financial Advisor
35,10+ years,Fleet Tech III
36,7 years,Cash Mgmt Clerk
37,10+ years,Senior Software Engineer
38,8 years,Owner
39,< 1 year,High Pressure Plant Tender
40,3 years,Department Chair Undergraduate Marketing
41,10+ years,E-6/Technical Sergeant
42,2 years,Community Manager
43,1 year,Graduate Teaching Assistant
44,10+ years,Accouting Manager
45,10+ years,Export Analyst
46,< 1 year,Risk Management Program Coordinator
47,10+ years,operator
48,3 years,Senior Logistics Analyst
49,3 years,Pilot
50,10+ years,Associate Director Flight Operations
51,10+ years,engineer
52,1 year,Senior Care Coordinator
53,10+ years,administrative assistant
54,9 years,Customerservice
55,7 years,Sgt
56,2 years,Industrial Worker
57,10+ years,machinist
58,10+ years,RN
59,4 years,Nurse
60,10+ years,Teacher/Admin
61,10+ years,dispatch supv
62,4 years,Nanny
63,10+ years,"Manager, Information Technology"
64,4 years,HEAD TELLER
65,10+ years,"Exec Budget Coord, Acad"
66,5 years,Financial Institution Specialist
67,8 years,Weather forecaster
68,1 year,Psych Therapyst 
69,2 years,International Adviser
70,6 years,Milk Lab Manager
71,10+ years,911 Director
72,5 years,relationship manager
73,5 years,Technologist
74,10+ years,Business Manager
75,6 years,Production Assistant
76,8 years,Accountant
77,1 year,loan officer
78,8 years,Project Manager
79,10+ years,Associate Professor
80,3 years,Customer Service Manager
81,2 years,Cybersecuriity specialst
82,10+ years,Doorman
83,3 years,Iron worker/ welder
84,3 years,Mechanic
85,7 years,Consultant
86,4 years,Physician
87,10+ years,"Manager, Regulatory"
88,5 years,Front Desk
90,6 years,buyer
91,7 years,IT specialist
92,5 years,occupational therapist
93,2 years,Logistics Team Lead
94,2 years,Vocational Rehabilitation Counselor
95,4 years,LVN
96,10+ years,Clinical Data Lead
97,10+ years,Dept. Manager
98,5 years,Sales Manager
99,5 years,Associate
100,10+ years,Housekeeping Supervisor
101,5 years,HR Supervisor
102,5 years,Principal
103,1 year,Director
104,10+ years,Firefighter
105,3 years,director
106,4 years,Bus Friver
107,< 1 year,Sr manager
108,3 years,Application Software Developer
109,3 years,Production Manager
111,10+ years,production controller
112,1 year,Technical Support Associate
113,9 years,Sales 
114,2 years,Shop Manager 
115,4 years,Physical Security
116,10+ years,clerk
117,10+ years,rn
118,10+ years,Monitor tech/secretary
119,2 years,Truck Driver
120,10+ years,manager
121,2 years,DRP Planner
122,2 years,Teacher
123,2 years,Assistant Vice President - Finance
124,8 years,Furnace Operator
125,10+ years,DC1
