,addr_state,annual_inc,application_type,dti,dti_joint,emp_length,emp_title,funded_amnt,home_ownership,issue_d,loan_status,member_id,open_acc,pub_rec,purpose,term,zip_code,open_il_12m,total_bal_il,id
0,VA,78000.0,Individual,12.03,,10+ years,MANAGEMENT,15000.0,RENT,Dec-2014,Fully Paid,,6.0,0.0,debt_consolidation, 60 months,235xx,,,38098114
1,CA,58000.0,Individual,14.92,,8 years,Truck Driver Delivery Personel,10400.0,MORTGAGE,Dec-2014,Charged Off,,17.0,0.0,credit_card, 36 months,937xx,,,36805548
2,MO,63800.0,Individual,18.49,,6 years,Programming Analysis Supervisor,21425.0,RENT,Dec-2014,Fully Paid,,10.0,0.0,credit_card, 60 months,658xx,,,37842129
3,CA,125000.0,Individual,8.31,,10+ years,Senior Sales Professional,12800.0,MORTGAGE,Dec-2014,Current,,8.0,0.0,car, 60 months,953xx,,,37612354
4,AZ,50000.0,Individual,34.81,,< 1 year,Technical Specialist,7650.0,RENT,Dec-2014,Charged Off,,11.0,0.0,debt_consolidation, 36 months,850xx,,,37662224
5,NJ,69000.0,Individual,25.81,,10+ years,Admin Specialist,9600.0,RENT,Dec-2014,Fully Paid,,12.0,0.0,debt_consolidation, 36 months,077xx,,,37822187
6,MN,89000.0,Individual,13.77,,< 1 year,Manufacturing Engineer,2500.0,MORTGAGE,Dec-2014,Fully Paid,,9.0,0.0,home_improvement, 36 months,554xx,,,37741884
7,VA,109777.0,Individual,11.63,,6 years,Foreign Service Officer,16000.0,OWN,Dec-2014,Fully Paid,,7.0,0.0,debt_consolidation, 60 months,201xx,,,37854444
8,WA,72000.0,Individual,27.03,,10+ years,Teacher,23325.0,RENT,Dec-2014,Charged Off,,14.0,0.0,credit_card, 36 months,982xx,,,36804663
9,MD,26000.0,Individual,14.36,,2 years,Store Manager,5250.0,RENT,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 36 months,208xx,,,37642222
10,MI,90000.0,Individual,8.44,,8 years,Investment Consultant,10000.0,RENT,Dec-2014,Charged Off,,5.0,0.0,debt_consolidation, 36 months,483xx,,,37701596
11,FL,60000.0,Individual,22.42,,10+ years,Sales,12975.0,RENT,Dec-2014,Charged Off,,11.0,0.0,house, 36 months,331xx,,,37800722
